,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1430,0.22271013259887695,0.05743089978639382,0.004691600799560547,0.00030069608543077935,0.8,50,10,134,1,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 134, 'subsample': 1}",-3451.291842342156,-3275.784114110006,-3345.8649351892905,-3357.6469638804842,72.13345417748334,1096,-353.0942258169294,-365.8139402486039,-379.48937986151907,-366.13251530901744,10.778130846340126
1431,0.22422893842061362,0.07296953795565889,0.004419406255086263,2.3092849369672528e-05,0.8,50,10,172,0.6,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 172, 'subsample': 0.6}",-3776.768751005276,-3472.2412790004305,-3482.419509961607,-3577.1431799891047,141.217740974766,1600,-659.13610444235,-662.3761071425636,-717.6909334509974,-679.734381678637,26.871909387689026
1432,0.24374802907307944,0.044528863472881805,0.004621664683024089,4.4782233634335e-05,0.8,50,10,172,0.8,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 172, 'subsample': 0.8}",-3690.8337271096943,-3582.9595126516006,-3390.4066639748285,-3554.7333012453746,124.2622075122384,1566,-313.7133422602868,-322.65309223991574,-357.7506634433083,-331.3723659811703,19.00597651924866
1433,0.34282541275024414,0.05445267702105105,0.00521548589070638,0.0001732585625280901,0.8,50,10,172,1,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 172, 'subsample': 1}",-3497.7059723671787,-3326.7444897709634,-3379.860681558448,-3401.4370478988635,71.44280612823968,1187,-222.40601387676563,-244.2016798436771,-254.26563467515126,-240.291109465198,13.297325040974977
1434,0.21331016222635904,0.034819571068279695,0.0046431223551432295,0.00021065783238747457,0.8,50,10,210,0.6,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 210, 'subsample': 0.6}",-3778.0513722289,-3584.7904303827554,-3522.2989801709714,-3628.3802609275426,108.86498214464422,1686,-516.2455454186363,-534.3457095617631,-569.84992772504,-540.147060901813,22.265057955472066
1435,0.2848223050435384,0.023637922021430332,0.0051152706146240234,2.6000381395381543e-05,0.8,50,10,210,0.8,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 210, 'subsample': 0.8}",-3711.837456550366,-3622.5014140909348,-3422.2433632561965,-3585.527411299166,121.0825954450166,1613,-227.1327005433268,-229.94317167003132,-260.51640166911193,-239.19742462749002,15.118394393682854
1436,0.38236403465270996,0.07778090829000064,0.006154696146647136,0.0005795368108744577,0.8,50,10,210,1,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 210, 'subsample': 1}",-3514.634142002538,-3353.510958976786,-3402.0679043233745,-3423.404335100899,67.4863071831641,1236,-153.11836752529805,-174.46768981957314,-182.1024941471873,-169.89618383068614,12.266319721449982
1437,0.26262839635213214,0.012825636897564269,0.004997968673706055,5.7426716679857626e-05,0.8,50,10,248,0.6,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 248, 'subsample': 0.6}",-3819.1843206170106,-3628.4744043587953,-3534.1166641048744,-3660.5917963602265,118.57357026774707,1744,-396.8471046621192,-422.49797570603164,-458.6416808419829,-425.99558707004456,25.348469713870298
1438,0.3647156556447347,0.08995945536744172,0.005452791849772136,6.349946142256632e-05,0.8,50,10,248,0.8,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 248, 'subsample': 0.8}",-3737.0636324950137,-3646.7709497960905,-3432.054741320062,-3605.2964412037218,127.92629927990365,1651,-162.94932652387098,-171.97074524743644,-198.31704101599715,-177.74570426243486,15.005141803569012
1439,0.4566929340362549,0.05972372019093497,0.00644532839457194,0.0003405235190234087,0.8,50,10,248,1,"{'colsample_bytree': 0.8, 'max_depth': 50, 'min_child_weight': 10, 'n_estimators': 248, 'subsample': 1}",-3533.9325663846857,-3369.116035454518,-3409.494429091619,-3437.514343643608,70.14251647224754,1266,-103.77389125289312,-122.1959687182587,-132.99137456904285,-119.65374484673157,12.062683766948208
